Postagem;UX (Av1);UX (Av2);Usabilidade (Av1);Usabilidade (Av2)
Eu tive que tirar tudo que eu Tenho olha que eu tenha só 2 aplicativos 2 APLICATIVOS e todas as minhas fotos tudo tudo tudo aaaaaaaaaaaaaaa👹👹🔥🔥😈😡😡😣😫😾💢💢💢👿👿👿👿😄😠💢😠😡😡😣😤😤😤😤😤😤😤😤😾 só por causa disso 😝 o resto e mais ou menos 🐱;Frustração;Frustração;Eficiência;Satisfação
😉😉😉😉😉😉😉adorei muito 👸kkkkkkkkk eu tou muito feliz;Satisfação;Satisfação;Satisfação;Satisfação
UwU SO RICA 💅;Satisfação;Satisfação;Satisfação;Satisfação
🤩;Satisfação;Satisfação;Satisfação;Satisfação
Ameiiiiiiiiiiiiiii💚;Satisfação;Satisfação;Satisfação;Satisfação
ótimo o App so q essa última atualização fico horrível mas tirando isso o App e ótimo parabéns pelo trabalho perfeito 😘amei o App so q esta atualização atrapalho muito eu podia dar 5 Estrela so q por causa disso vo dar 4 😙 espera q a próxima atualização seja bem melhor;Satisfação;Satisfação;Satisfação;Satisfação
Whatszap 2😎👍 K;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom para conversar mais podia tem uma opção de dar dinheiro um para outro mais e muito bom mesmo 👏👍;Satisfação;Satisfação;Eficiência;Satisfação
Adorei😍😍;Afeto;Satisfação;Satisfação;Satisfação
Muito bom o whatsapp 😄😄😄😄😄😄;Satisfação;Satisfação;Satisfação;Satisfação
👍😘AMO A MINHA VIDA;Afeto;Satisfação;Satisfação;Satisfação
Bom 👍;Satisfação;Satisfação;Satisfação;Satisfação
WhatsApp muito divertido😘;Satisfação;Satisfação;Satisfação;Satisfação
É ótimo aplicativo da pra fazer ligações 💓💓;Satisfação;Satisfação;Satisfação;Satisfação
😍❤️;Satisfação;Satisfação;Satisfação;Satisfação
😀;Satisfação;Satisfação;Satisfação;Satisfação
Horrível 🤮🤢🤢🤪🤮🤢🤢🤢🤮🤮🤮🤢🤢🤕🤥🤮😱🤒🤮🤥🤮🤒🤮😡🤒😱🤮🤒😱🤮🤮😠🤧🤒🤧😱🤒;Frustração;Frustração;Satisfação;Eficiência
🥰🥰🥰🤩;Satisfação;Satisfação;Satisfação;Satisfação
🙌🤳;Satisfação;Satisfação;Satisfação;Satisfação
Faz uns 4 dias que não consigo mandar ou baixar qualquer arquivo. Nem audios, imagens, vídeos ou até mesmos as figurinhas. Já restaurei o meu celular, baixei o aplicativo novamente e continuar dando falha ao fazer o download. 😦😦;Frustração;;Eficiência;
👏;Satisfação;Satisfação;Satisfação;Satisfação
😂;Satisfação;Satisfação;Satisfação;Satisfação
Utiu😍😍;Satisfação;Satisfação;Satisfação;Satisfação
Resolveram o problema da câmera com zoom🙏, até agora perfeito.;Satisfação;Frustração;Satisfação;Satisfação
❤️;Satisfação;Satisfação;Satisfação;Satisfação
Boa Rede Social👍🏼;Satisfação;Satisfação;Satisfação;Eficiência
Bug não consigo receber nem enviar áudios! 😡;Frustração;Frustração;Eficiência;Eficiência
Bom 😀;Satisfação;Satisfação;Satisfação;Satisfação
Meu watts não está funcionando, não está respondendo tbm 😤 meus ctt não abrem direito não consigo ver o perfil da pessoa;Frustração;Frustração;Eficiência;Eficiência
Excepcional 😍;Satisfação;Satisfação;Satisfação;Satisfação
Achei um lixo a nova atualização para que ficar com os arquivados em cima atrapalhando tudo 😒😒;Frustração;Frustração;Eficiência;Satisfação
AMO ESTE APP! 💚;Afeto;Satisfação;Satisfação;Satisfação
👎👎👍;Frustração;Frustração;Satisfação;Satisfação
Show de bola..!!! 🙏🙏🙏;Satisfação;Frustração;Satisfação;Satisfação
Tá OK 👌, que 1;Satisfação;Satisfação;Satisfação;Satisfação
😁;Satisfação;Satisfação;Satisfação;Satisfação
Mto bom 👏👏;Satisfação;Satisfação;Satisfação;Satisfação
Tudo 😘🤩;Satisfação;Satisfação;Satisfação;Satisfação
É ótimo mais depois o Whatsapp ficou tudo au contrário 🧐;Frustração;;Satisfação;
Muito bom amei essa atualização ❤💕💕💕;Afeto;Satisfação;Satisfação;Satisfação
😍😍😍😍;Satisfação;Satisfação;Satisfação;Satisfação
Adorei 😍😍👏👏;Satisfação;Satisfação;Satisfação;Satisfação
😚😚😚😚😚😚😚💪👍👏👏👏😇😇;Satisfação;Satisfação;Satisfação;Satisfação
Joinha 👍🤗👍;Satisfação;Satisfação;Satisfação;Satisfação
👏;Satisfação;Satisfação;Satisfação;Satisfação
Eu não gostei por que eu não consigo instalar 😔;Frustração;Frustração;Eficiência;Satisfação
TOP E MUINTO BOM FALO COM A MINHA FAMILHA E AMIGO PARABENS PRA QUEN FES ISO BEJOS ❤💋👏👏;Satisfação;Satisfação;Satisfação;Satisfação
💕🤘🏻🤩;Satisfação;Satisfação;Satisfação;Satisfação
App que amo e o melhor de todos os tempos 😍😍😍;Satisfação;Satisfação;Satisfação;Satisfação
Legal 👍;Satisfação;Satisfação;Satisfação;Satisfação
Essa M3®d@ não tá enviando o código desde de ontem eu preciso fala com minha irma urgente e a m£®D# desse código n chega 😠🤬🤬 si não chegar .. vcs vão ver;Frustração;Frustração;Eficiência;
👍👍👍👍👍👍👍👍👍👍👍;Satisfação;Satisfação;Satisfação;Satisfação
Já foi muito bom, mas depois dessa última atualização ficou péssimo não consegue enviar um vídeo maior que 2 minutos e 50 segundos, atualização deveria melhorar mas piorou e muito 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎;Frustração;Frustração;Eficiência;Satisfação
Nossa internet aqui não pode ser assim obg pela atenção das coisas que eu tenho mais ☺️ vc não vai me trava de novo 😕 APERTE tá bom então vem a gente;Frustração;Satisfação;Eficiência;Satisfação
Tá bem ruim ultimamente 😠;Frustração;Frustração;Eficiência;Satisfação
Tive que desinstalar até o meu até o meu Instagram 😢😢;Frustração;Frustração;Eficiência;Eficiência
Eu atualizei meu zap é agora apagou todas as minha mensagem apagaram do dia 23 para cá😡😡😡😡😡;Frustração;Frustração;Eficiência;Eficiência
Um ótimo App baixem e divirta-se tirando os trava whatsapp né 🙂;Satisfação;Satisfação;Satisfação;Satisfação
Amei😊💖 mt bom;Afeto;Satisfação;Satisfação;Satisfação
Muito ótimo mais de uns dias pra cá ele começou a ficar ruim Não abri áudio Não abri fotos Não abri vídeos Só presta mensagens escritas então está muito ruim se vocês pudesse arrumar ficaria ótimo 😤;Frustração;Frustração;Eficiência;Eficiência
Ótimo 👍;Satisfação;Satisfação;Satisfação;Satisfação
eu achei muito bom 😘😘😘😘;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom.❤️❤️ ✅tiktok:@danielysouto4. ✅Instagram:@daniely_souto829. ✅kwai:＠daniely_souto829. ✅YouTube: Daniely Souto.;Satisfação;;Satisfação;
Ótimo app 😁;Satisfação;Satisfação;Satisfação;Satisfação
Essa nova atualização deixou uma 💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩;Frustração;Frustração;Eficiência;Satisfação
Muito bom 🤗🤗🤗;Satisfação;Satisfação;Satisfação;Satisfação
Essa nova atualização está um lixo vou começa ussa o telegram 😡😡😡😡😡;Frustração;Frustração;Eficiência;Eficiência
Legal Divertido 👍👍;Satisfação;Satisfação;Satisfação;Satisfação
App maravilhoso 😍😍😍;Satisfação;Satisfação;Satisfação;Satisfação
Muito ruim 😭😭 demora mt demora ate 4h;Frustração;Frustração;Eficiência;Eficiência
👏👏👏👏👏;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom 😊😊;Satisfação;Satisfação;Satisfação;Satisfação
Ótimo 😁;Satisfação;Satisfação;Satisfação;Satisfação
Muito otimo 😘😍🤗;Satisfação;Satisfação;Satisfação;Satisfação
☺😊😀😁😂😃😄😅😆😉😯😐😑😕😠😬😡😢😴😮😣😤😥😦😧😨😩😰😟😱😲😳😵😶😷😞😒😭😌😖😔😪😏😓😫;Satisfação;Frustração;Satisfação;Satisfação
Muito bom 😃;Satisfação;Satisfação;Satisfação;Satisfação
Ele não está abrindo os vídeos do status ou quando vou colocar um vídeo no meu status não abaixa e tbm quando eu mando vídeo pra pessoa tbm não manda quero que resolvam esse problema😒 por favor;Frustração;Frustração;Eficácia;Satisfação
Fica dando falha no dowload muito chato isso,atualizaçao ruim, tem que resolver😤;Frustração;Frustração;Eficiência;Eficiência
Ótimo 👏;Satisfação;Satisfação;Satisfação;Satisfação
Ele e perfeito mas queria muito uma nova atualizaçao quando a gente tiver procurando figurinha aparecese procurando figurinha🙂;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom esse app. 👍;Satisfação;Satisfação;Satisfação;Satisfação
Agora sim a câmera do WhatsApp voltou ao normal. Em si o aplicativo é ótimo. 👍;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom 😃;Satisfação;Satisfação;Satisfação;Satisfação
Bom dia o App não funciona pra enviar e receber mídias depois da atualização 😠😠😠. Qual á necessidade de colocar novas funções, se nem conseguimos utilizar as que já existiam.;Frustração;Frustração;Eficiência;Satisfação
whats ta tirando a qualidade das fts 🥲;Frustração;null;Eficiência;null
Que atualizaçao foi essa?horrivél as conversas arquivadas encima e o auge meus jesus, a pior atualização desse app🤦;Frustração;Frustração;Satisfação;Eficiência
Whatazap!!!! 😈😈;Satisfação;Frustração;Satisfação;Satisfação
tá, muito ruim, som dos áudios, 😡;Frustração;Frustração;Eficiência;Eficiência
Não dá mais pra enviar um vídeo inteiro 😤😤;Frustração;Frustração;Eficiência;Eficiência
Gente uma coisa que eu descobri é que tem jogo nele tem mais eu acho que vcs sabiam não😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀i😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀😀…;Satisfação;Satisfação;Aprendizado;Satisfação
O melhor Whatsapp ele é bom não trava ❤️👏;Satisfação;Satisfação;Eficiência;Satisfação
Muito útil pra tudo, vcs estãode parabéns 😍😍😍;Satisfação;Satisfação;Utilidade;Satisfação
😍😍;Satisfação;Satisfação;Satisfação;Satisfação
😍😍😍😍😍😍;Satisfação;Satisfação;Satisfação;Satisfação
O whatsapp tem melhorado a cada dia e mês que passa ✊😔;Satisfação;Satisfação;Satisfação;Satisfação
Emcriveeel muito bom mesmo da pra eu comverssa com a milha familia de longe muito mes parabéns ao criador😘💝💖🌟💜;Afeto;Satisfação;Satisfação;Satisfação
Satisfatória 🙏👏👏👏👏;Satisfação;Satisfação;Satisfação;Satisfação
Bom para o trabalho 😁;Satisfação;Satisfação;Satisfação;Satisfação
Muito Bom👏;Satisfação;Satisfação;Satisfação;Satisfação
ESTA NOVA ATUALIZAÇÃO ESTÁ HORRÍVEL! A CÂMERA COM UM ZOOM ABSURDO! OPTO POR N SALVAR AS FOTOS DOS GRUPOS,E ESTÁ SALVANDO. ESTÁ LENTO TBM! EU SINCERAMENTE, SE PUDESSE, Ñ USARIA MAIS. POR FAVOR, ARRUME ISSO LOGO,POIS USO MUITO MINHA CÂMERA, PARA DIVERSOS FINS! 😡;Frustração;Frustração;Eficiência;Eficiência
Arrumaram a câmera 👐🏽;Satisfação;;Satisfação;
bom dia se atualização e importante e por q tem melhora nosso zap😁;Satisfação;Satisfação;Satisfação;Satisfação
👍👍👍👍;Satisfação;Satisfação;Satisfação;Satisfação
O app é maravilhoso, só que eu acho q ele tá com defeito faz mais de 4 dias que não recebo msgs...🥲;Frustração;null;Eficiência;null
Muito bom 👍👏;Satisfação;Satisfação;Satisfação;Satisfação
Só falta poder abrir chat na chamada de video, quando está em algum lugar barulhento seria uma boa poder escrever👏👏👏 enquanto isso nao chega o app é ótimo.;Satisfação;Satisfação;Satisfação;Satisfação
👏;Satisfação;Satisfação;Satisfação;Satisfação
Parabéns nota 10 👍👏;Satisfação;Satisfação;Satisfação;Satisfação
Depois que eu atualizei ficou sem abrir os vídeos, os áudios e as figuras mal mente consigo escrever estou pensando em desativar e não ativa mais já quê não está servindo .😤😟;Frustração;Frustração;Eficiência;Eficiência
Muito legal😘;Satisfação;Satisfação;Satisfação;Satisfação
O meu ta bulgado ñ carrega status nem áudio nem foto e nem figurinha 😭😭pfv alguém pode mim falar oq eu tenho q fazer;Frustração;Frustração;Eficiência;Eficiência
Adoro esse AP muito bom mesmo ❤️;Satisfação;Satisfação;Satisfação;Satisfação
👍;Satisfação;Satisfação;Satisfação;Satisfação
não que ataliza mudem isso 😠 ms da raiva quero escutar audio 2× mais não da inferno 😡😡😡😡 to cheia varios cll da e no meu não 😡😡😡;Frustração;Frustração;Satisfação;Eficiência
Eu amo neh,app incrível 🥰🥰;Afeto;Satisfação;Satisfação;Satisfação
Bom Aplicativo....❤;Satisfação;Satisfação;Satisfação;Satisfação
Legal amo esse aplicativo ❤;Satisfação;Satisfação;Satisfação;Satisfação
Nota máxima 👍🤙👏🏼👏🏼;Satisfação;Satisfação;Satisfação;Satisfação
Não faz download de fotos. O que faço ❓;Suporte;;Eficiência;
A cada atualização lasca mais o app, tiraram a opção de fazer ligação e responder outras pessoas ou entrar em outros apps ao mesmo tempo (o que é muito chato ) e a câmera que está horrível 😭 espero muito que as ligações volte a como era antes e que de para ligar e responder mensagens ao mesmo tempo 🙏;Frustração;Frustração;Satisfação;Satisfação
Tem um detalhe que a empresa whatsapp deveria ter melhorado faz tempo,😏😅 quem é mais perfeccionista em tecnologias, gráficos frames... Sabe que a qualidade de foto cai quando coloca no perfil do whatsapp! de resto tah tudo bom na minha opinião mas isso deveria melhorar.;Frustração;Satisfação;Eficiência;Satisfação
Okay 😎;Satisfação;Satisfação;Satisfação;Satisfação
App de mensagens ninguém me manda mensagem, ninguém que conversar comigo. Mó tristeza 😭😭😭😭;Frustração;Frustração;Satisfação;Eficiência
Muito bom! 5 estrelas ⭐;Satisfação;Satisfação;Satisfação;Satisfação
👏👏👏;Satisfação;Satisfação;Satisfação;Satisfação
Não gostei pq fica saindo toda hora,eu preciso das redes sociais pra mim, atende minha clientes 😠;Frustração;Frustração;Eficiência;Satisfação
A qualidade tá horrível 😫😔😔😔;Frustração;Frustração;Eficiência;Satisfação
Maravilha 😉pote estala a vontade BB.;Satisfação;Satisfação;Satisfação;Satisfação
Bem louco👍🏽😐;Satisfação;;Satisfação;
Gostei não 😓;Frustração;Frustração;Satisfação;Eficácia
Obrigado pela lhe sempre que vida sua felicidade Whatsapp ❤️;Satisfação;Satisfação;Satisfação;Satisfação
Muito Bom esse App👍;Satisfação;Satisfação;Satisfação;Satisfação
🥰;Satisfação;Satisfação;Satisfação;Satisfação
Eu conheci esse aplicativo por causa do treiler o whatsapp 7. Recomendo muito esse filme😳👍😎❤️👈🙀;Satisfação;Satisfação;Satisfação;Satisfação
💏♥️♥️♥️♥️♥️♥️♥️🤷♥️♥️♥️♥️♥️♥️;Satisfação;Afeto;Satisfação;Satisfação
Top 👏👏✌❤;Satisfação;Satisfação;Satisfação;Satisfação
Bem eu uso dms esse app pra falar com minha família 🍃 .. Bom realmente não achei esses "bug" q várias pessoas estão a falar bem pra mim não tem nd.. Literalmente recomendo ❣️🗝️;Satisfação;Satisfação;Satisfação;
Não sei o que aconteceu do nada o App atualizou e agora não consigo baixar fotos, vídeos, áudios e até mesmo ver status dos meus contatos eu só queria voltar pra a última atualização 😟;Frustração;Frustração;Eficiência;Eficácia
Corrigiram o erro da câmera! 👏🏻;Satisfação;Satisfação;Satisfação;Satisfação
Todas as vezes que eu precisei restaurar minhas mensagens o backup não funcionou, fica horas carregando pra no final dizer que deu erro e não vai ser possível restaurar, estou extremamente infeliz com o aplicativo!💔;Frustração;Frustração;Eficiência;Eficiência
Pq não tem emoji gemendo?? 🙄🙄 WhatsApp nem é pra criança mesmo então não vejo motivo pra não colocar.;Frustração;Frustração;Satisfação;Satisfação
👍;Satisfação;Satisfação;Satisfação;Satisfação
😒😒😒;Frustração;Frustração;Satisfação;Satisfação
Amei o app ele e fantástico 👏👏😻 amei o app💟;Afeto;Satisfação;Satisfação;Satisfação
😎😎😎😎;Satisfação;Satisfação;Satisfação;Satisfação
❤️;Satisfação;Satisfação;Satisfação;Satisfação
Gostei desse aplicativo ele e muito legal mais ele está travando meu telefone 😳não queria que isso acondesese;Frustração;Satisfação;Eficiência;Eficiência
Muito bom, mas por favor arrumem a câmera, esse zoom tá um 💩;Frustração;Frustração;Eficiência;Satisfação
👍;Satisfação;Satisfação;Satisfação;Satisfação
depois da última atualização não consigo mas abrir nenhuma mídia nem visualizar os status dos meus contatos. 😡;Frustração;Frustração;Eficiência;Eficiência
🐃🐮🐗🐮 805.! 😈;Satisfação;;Satisfação;
Ruim 🤮🤮🤮🤮;Frustração;Frustração;Satisfação;Eficiência
👍👍👍👍👍;Satisfação;Satisfação;Satisfação;Satisfação
Muito bomm👏👏;Satisfação;Satisfação;Satisfação;Satisfação
Saudade🌹🌼💐;Satisfação;;Satisfação;
Parabéns ao criado do whatsapp 👏 muito bom.;Satisfação;Satisfação;Satisfação;Satisfação
Depois da ultima atualização não consigo baixar áudio, imagens, vídeos e nem documentos, a desinstalei e instalei e nada de voltar ao normal😠😠;Frustração;Frustração;Eficiência;Satisfação
Muito bom👍;Satisfação;Satisfação;Satisfação;Satisfação
Eu n sei oq aconteceu mas eu n consigo mais procurar contatos e mensagens. Sempre que eu tento fica um tempão carregando e n funciona 😔;Frustração;Frustração;Eficiência;Satisfação
Adorei muito bom 👍👍👍👍;Satisfação;Satisfação;Satisfação;Satisfação
😍😍😍😍😍😍😍;Satisfação;Satisfação;Satisfação;Satisfação
Cansei desse app só tomo ponto no c*****😭😭😭😭 Posso nem fzr meu gf q a dt vem com ponto no meu bumbum é de dia e de manhã a noite e de tarde aaaaaa MDS. Dt me ajuda nmrl só de manhã NN já tá bom ?? Aí vcs fode né pqprl veinho Deus satan mi da ADM da of ban 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 vamos derrubar a dt NN aguento mais vcs aaaaa vão mi mata de tanto ponto açaí me ajuda cara eu te amo me envia 60 trava CTT aí pela mor de deus cara 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭;Frustração;Frustração;Satisfação;Eficiência
Muito bom. Muito útil 👏👏;Satisfação;Satisfação;Satisfação;Satisfação
😆😘;Satisfação;Satisfação;Satisfação;Satisfação
Bom dmsssssssss ✨;Satisfação;Satisfação;Satisfação;Satisfação
JÁ CONSEGUÍ INÚMERAS AMIZADES COM PESSOAS DIGNAS DE CARÁTER AQUI NESTE APLICATIVO.👍;Satisfação;Satisfação;Satisfação;Satisfação
Esse app e muito bom parabéns 👏;Satisfação;Satisfação;Satisfação;Satisfação
Excelente 👏👏👏👏👏👏👏;Satisfação;Satisfação;Satisfação;Satisfação
Adorei😊;Satisfação;Satisfação;Satisfação;Satisfação
Nada👈a ver seus pal no cu;Frustração;Satisfação;Satisfação;Satisfação
Péssimo 😢;Satisfação;Frustração;Satisfação;Eficiência
W, werreerefgg😒😒😒PIKACHU😒😒;Satisfação;Frustração;Satisfação;Satisfação
Muito bom 😃;Satisfação;Satisfação;Satisfação;Satisfação
muito bom 😊😊;Satisfação;Satisfação;Satisfação;Satisfação
Ótimo nem tenho palavras para descrever esse APP❤️❤️❤️❤️❤️;Satisfação;Satisfação;Satisfação;Satisfação
Para mim até agora ese apricativo está bom 👍👍;Satisfação;Satisfação;Satisfação;Satisfação
Maravilhoso!! 🤩🎉🎉🎉;Satisfação;Satisfação;Satisfação;Satisfação
Legal 👌🏼😃;Satisfação;Satisfação;Satisfação;
ótimo. Só que trava mto tbm😊;Satisfação;Satisfação;Eficiência;Satisfação
O app é legal, uso desde pequeno, mas poderiam fazer uma nova atualização, por exemplo, poderiam adicionar novos emojis. Se lerem meu comentário, ficarei agradecido. 👌😁;Satisfação;Satisfação;Satisfação;Satisfação
Muito ruim esta dando um bugue e não baixa os audios vídeos fotos e figurinhas desinstalei e inatalei se der serto eu mudo minha avalição 😠😬😬😡;Frustração;Frustração;Eficiência;Satisfação
Amo demais 😍🌹;Afeto;Satisfação;Satisfação;Satisfação
Muito bom 😊;Satisfação;Satisfação;Satisfação;Satisfação
Depois da última atualização não abre mídia alguma😥se não arrumarrem vou dar adeus ao app,minha última review eram 5🌟 agora porém 3,se melhorar volto para aumentar o score😁;Frustração;Frustração;Eficácia;Satisfação
😃😃😃;Satisfação;Satisfação;Satisfação;Satisfação
👍👍👍👍;Satisfação;Satisfação;Satisfação;Satisfação
Boa tarde amigo 😆🐄🐂;Satisfação;;Satisfação;
meu áudio não está funcionando eu falo e não pega 😐;Frustração;Frustração;Eficiência;Eficiência
😇😇😀😀;Satisfação;Satisfação;Satisfação;Satisfação
Confortável e simples de usar! Top😘;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom, só acho que poderia mudar um pouco mais sabe!!😎;Satisfação;Satisfação;Satisfação;Satisfação
❤️;Satisfação;Satisfação;Satisfação;Satisfação
Amo esse app ❤️;Afeto;Satisfação;Satisfação;Satisfação
Excelente❤😌;Satisfação;Satisfação;Satisfação;Satisfação
Por que vcs n fazem um whatszapp lite? ,como insta lite e o face lite uma boa ideia🤔;Satisfação;Frustração;Satisfação;Satisfação
Bom 👍;Satisfação;Satisfação;Satisfação;Satisfação
Ótimo! ⭐⭐⭐⭐⭐;Satisfação;Satisfação;Satisfação;Satisfação
Melhor app para conversar✌;Satisfação;Satisfação;Satisfação;Satisfação
Lorena❤️❤️;Satisfação;Satisfação;Satisfação;Satisfação
👍👍👍👍👍;Satisfação;Satisfação;Satisfação;Satisfação
Eu❤️;Afeto;Satisfação;Satisfação;Satisfação
EU AMO ESTE APLICATIVO ❤💙;Afeto;Satisfação;Satisfação;Satisfação
Whatsapp pra mim é essencial. Resolvo praticamente todos os meus problemas através dele. Nessa pandemia então, ele é indispensável. De longe o App que mais utilizo. É Dez. 👍;Satisfação;Satisfação;Satisfação;Satisfação
Ótimo muito bom 👏👏👏👏👏👏👏;Satisfação;Satisfação;Satisfação;Satisfação
🤩🤩🤩🤩🤩🙂🙂🙂🙂🙂🙂🙂;Satisfação;Satisfação;Satisfação;Satisfação
